name,size
"The Barbecue Chicken Pizza",M
"The California Chicken Pizza",M
"The Chicken Alfredo Pizza",M
"The Chicken Pesto Pizza",M
"The Southwest Chicken Pizza",M
"The Thai Chicken Pizza",M
"The Big Meat Pizza",M
"The Classic Deluxe Pizza",M
"The Hawaiian Pizza",M
"The Italian Capocollo Pizza",M
"The Napolitana Pizza",M
"The Pepperoni, Mushroom, and Peppers Pizza",M
"The Pepperoni Pizza",M
"The Greek Pizza",M
"The Calabrese Pizza",M
"The Italian Supreme Pizza",M
"The Pepper Salami Pizza",M
"The Prosciutto and Arugula Pizza",M
"The Sicilian Pizza",M
"The Soppressata Pizza",M
"The Spicy Italian Pizza",M
"The Spinach Supreme Pizza",M
"The Five Cheese Pizza",M
"The Four Cheese Pizza",M
"The Green Garden Pizza",M
"The Italian Vegetables Pizza",M
"The Mediterranean Pizza",M
"The Mexicana Pizza",M
"The Spinach Pesto Pizza",M
"The Spinach and Feta Pizza",M
"The Vegetables + Vegetables Pizza",M
